chapterIndex	verseIndex	wordIndex	lb
1	1	1	بِسْمِ
1	1	2	اللَّهِ
1	1	3	الرَّحْمَٰنِ
1	1	4	الرَّحِيمِ
1	2	1	الْحَمْدُ
1	2	2	لِلَّهِ
1	2	3	رَبِّ
1	2	4	الْعَالَمِينَ
1	3	1	الرَّحْمَٰنِ
1	3	2	الرَّحِيمِ
1	4	1	مَالِكِ
1	4	2	يَوْمِ
1	4	3	الدِّينِ
1	5	1	إِيَّاكَ
1	5	2	نَعْبُدُ
1	5	3	وَإِيَّاكَ
1	5	4	نَسْتَعِينُ
1	6	1	اهْدِنَا
1	6	2	الصِّرَاطَ
1	6	3	الْمُسْتَقِيمَ
1	7	1	صِرَاطَ
1	7	2	الَّذِينَ
1	7	3	أَنْعَمْتَ
1	7	4	عَلَيْهِمْ
1	7	5	غَيْرِ
1	7	6	الْمَغْضُوبِ
1	7	7	عَلَيْهِمْ
1	7	8	وَلَا
1	7	9	الضَّالِّينَ
10	1	1	الر
10	1	2	تِلْكَ
10	1	3	آيَاتُ
10	1	4	الْكِتَابِ
10	1	5	الْحَكِيمِ
10	10	1	دَعْوَاهُمْ
10	10	10	أَنِ
10	10	11	الْحَمْدُ
10	10	12	لِلَّهِ
10	10	13	رَبِّ
10	10	14	الْعَالَمِينَ
10	10	2	فِيهَا
10	10	3	سُبْحَانَكَ
10	10	4	اللَّهُمَّ
10	10	5	وَتَحِيَّتُهُمْ
10	10	6	فِيهَا
10	10	7	سَلَامٌ
10	10	8	وَآخِرُ
10	10	9	دَعْوَاهُمْ
10	100	1	وَمَا
10	100	10	الرِّجْسَ
10	100	11	عَلَى
10	100	12	الَّذِينَ
10	100	13	لَا
10	100	14	يَعْقِلُونَ
10	100	2	كَانَ
10	100	3	لِنَفْسٍ
10	100	4	أَنْ
10	100	5	تُؤْمِنَ
10	100	6	إِلَّا
10	100	7	بِإِذْنِ
10	100	8	اللَّهِ
10	100	9	وَيَجْعَلُ
10	101	1	قُلِ
10	101	10	وَالنُّذُرُ
10	101	11	عَنْ
10	101	12	قَوْمٍ
10	101	13	لَا
10	101	14	يُؤْمِنُونَ
10	101	2	انْظُرُوا
10	101	3	مَاذَا
10	101	4	فِي
10	101	5	السَّمَاوَاتِ
10	101	6	وَالْأَرْضِ
10	101	7	وَمَا
10	101	8	تُغْنِي
10	101	9	الْآيَاتُ
10	102	1	فَهَلْ
10	102	10	قُلْ
10	102	11	فَانْتَظِرُوا
10	102	12	إِنِّي
10	102	13	مَعَكُمْ
10	102	14	مِنَ
10	102	15	الْمُنْتَظِرِينَ
10	102	2	يَنْتَظِرُونَ
10	102	3	إِلَّا
10	102	4	مِثْلَ
10	102	5	أَيَّامِ
10	102	6	الَّذِينَ
10	102	7	خَلَوْا
10	102	8	مِنْ
10	102	9	قَبْلِهِمْ
10	103	1	ثُمَّ
10	103	10	الْمُؤْمِنِينَ
10	103	2	نُنَجِّي
10	103	3	رُسُلَنَا
10	103	4	وَالَّذِينَ
10	103	5	آمَنُوا
10	103	6	كَذَٰلِكَ
10	103	7	حَقًّا
10	103	8	عَلَيْنَا
10	103	9	نُنْجِ
10	104	1	قُلْ
10	104	10	دِينِي
10	104	11	فَلَا
10	104	12	أَعْبُدُ
10	104	13	الَّذِينَ
10	104	14	تَعْبُدُونَ
10	104	15	مِنْ
10	104	16	دُونِ
10	104	17	اللَّهِ
10	104	18	وَلَٰكِنْ
10	104	19	أَعْبُدُ
10	104	2	يَا
10	104	20	اللَّهَ
10	104	21	الَّذِي
10	104	22	يَتَوَفَّاكُمْ
10	104	23	وَأُمِرْتُ
10	104	24	أَنْ
10	104	25	أَكُونَ
10	104	26	مِنَ
10	104	27	الْمُؤْمِنِينَ
10	104	3	أَيُّهَا
10	104	4	النَّاسُ
10	104	5	إِنْ
10	104	6	كُنْتُمْ
10	104	7	فِي
10	104	8	شَكٍّ
10	104	9	مِنْ
10	105	1	وَأَنْ
10	105	2	أَقِمْ
10	105	3	وَجْهَكَ
10	105	4	لِلدِّينِ
10	105	5	حَنِيفًا
10	105	6	وَلَا
10	105	7	تَكُونَنَّ
10	105	8	مِنَ
10	105	9	الْمُشْرِكِينَ
10	106	1	وَلَا
10	106	10	يَضُرُّكَ
10	106	11	فَإِنْ
10	106	12	فَعَلْتَ
10	106	13	فَإِنَّكَ
10	106	14	إِذًا
10	106	15	مِنَ
10	106	16	الظَّالِمِينَ
10	106	2	تَدْعُ
10	106	3	مِنْ
10	106	4	دُونِ
10	106	5	اللَّهِ
10	106	6	مَا
10	106	7	لَا
10	106	8	يَنْفَعُكَ
10	106	9	وَلَا
10	107	1	وَإِنْ
10	107	10	وَإِنْ
10	107	11	يُرِدْكَ
10	107	12	بِخَيْرٍ
10	107	13	فَلَا
10	107	14	رَادَّ
10	107	15	لِفَضْلِهِ
10	107	16	يُصِيبُ
10	107	17	بِهِ
10	107	18	مَنْ
10	107	19	يَشَاءُ
10	107	2	يَمْسَسْكَ
10	107	20	مِنْ
10	107	21	عِبَادِهِ
10	107	22	وَهُوَ
10	107	23	الْغَفُورُ
10	107	24	الرَّحِيمُ
10	107	3	اللَّهُ
10	107	4	بِضُرٍّ
10	107	5	فَلَا
10	107	6	كَاشِفَ
10	107	7	لَهُ
10	107	8	إِلَّا
10	107	9	هُوَ
10	108	1	قُلْ
10	108	10	فَمَنِ
10	108	11	اهْتَدَىٰ
10	108	12	فَإِنَّمَا
10	108	13	يَهْتَدِي
10	108	14	لِنَفْسِهِ
10	108	15	وَمَنْ
10	108	16	ضَلَّ
10	108	17	فَإِنَّمَا
10	108	18	يَضِلُّ
10	108	19	عَلَيْهَا
10	108	2	يَا
10	108	20	وَمَا
10	108	21	أَنَا
10	108	22	عَلَيْكُمْ
10	108	23	بِوَكِيلٍ
10	108	3	أَيُّهَا
10	108	4	النَّاسُ
10	108	5	قَدْ
10	108	6	جَاءَكُمُ
10	108	7	الْحَقُّ
10	108	8	مِنْ
10	108	9	رَبِّكُمْ
10	109	1	وَاتَّبِعْ
10	109	10	خَيْرُ
10	109	11	الْحَاكِمِينَ
10	109	2	مَا
10	109	3	يُوحَىٰ
10	109	4	إِلَيْكَ
10	109	5	وَاصْبِرْ
10	109	6	حَتَّىٰ
10	109	7	يَحْكُمَ
10	109	8	اللَّهُ
10	109	9	وَهُوَ
10	11	1	وَلَوْ
10	11	10	أَجَلُهُمْ
10	11	11	فَنَذَرُ
10	11	12	الَّذِينَ
10	11	13	لَا
10	11	14	يَرْجُونَ
10	11	15	لِقَاءَنَا
10	11	16	فِي
10	11	17	طُغْيَانِهِمْ
10	11	18	يَعْمَهُونَ
10	11	2	يُعَجِّلُ
10	11	3	اللَّهُ
10	11	4	لِلنَّاسِ
10	11	5	الشَّرَّ
10	11	6	اسْتِعْجَالَهُمْ
10	11	7	بِالْخَيْرِ
10	11	8	لَقُضِيَ
10	11	9	إِلَيْهِمْ
10	12	1	وَإِذَا
10	12	10	قَائِمًا
10	12	11	فَلَمَّا
10	12	12	كَشَفْنَا
10	12	13	عَنْهُ
10	12	14	ضُرَّهُ
10	12	15	مَرَّ
10	12	16	كَأَنْ
10	12	17	لَمْ
10	12	18	يَدْعُنَا
10	12	19	إِلَىٰ
10	12	2	مَسَّ
10	12	20	ضُرٍّ
10	12	21	مَسَّهُ
10	12	22	كَذَٰلِكَ
10	12	23	زُيِّنَ
10	12	24	لِلْمُسْرِفِينَ
10	12	25	مَا
10	12	26	كَانُوا
10	12	27	يَعْمَلُونَ
10	12	3	الْإِنْسَانَ
10	12	4	الضُّرُّ
10	12	5	دَعَانَا
10	12	6	لِجَنْبِهِ
10	12	7	أَوْ
10	12	8	قَاعِدًا
10	12	9	أَوْ
10	13	1	وَلَقَدْ
10	13	10	بِالْبَيِّنَاتِ
10	13	11	وَمَا
10	13	12	كَانُوا
10	13	13	لِيُؤْمِنُوا
10	13	14	كَذَٰلِكَ
10	13	15	نَجْزِي
10	13	16	الْقَوْمَ
10	13	17	الْمُجْرِمِينَ
10	13	2	أَهْلَكْنَا
10	13	3	الْقُرُونَ
10	13	4	مِنْ
10	13	5	قَبْلِكُمْ
10	13	6	لَمَّا
10	13	7	ظَلَمُوا
10	13	8	وَجَاءَتْهُمْ
10	13	9	رُسُلُهُمْ
10	14	1	ثُمَّ
10	14	10	تَعْمَلُونَ
10	14	2	جَعَلْنَاكُمْ
10	14	3	خَلَائِفَ
10	14	4	فِي
10	14	5	الْأَرْضِ
10	14	6	مِنْ
10	14	7	بَعْدِهِمْ
10	14	8	لِنَنْظُرَ
10	14	9	كَيْفَ
10	15	1	وَإِذَا
10	15	10	لِقَاءَنَا
10	15	11	ائْتِ
10	15	12	بِقُرْآنٍ
10	15	13	غَيْرِ
10	15	14	هَٰذَا
10	15	15	أَوْ
10	15	16	بَدِّلْهُ
10	15	17	قُلْ
10	15	18	مَا
10	15	19	يَكُونُ
10	15	2	تُتْلَىٰ
10	15	20	لِي
10	15	21	أَنْ
10	15	22	أُبَدِّلَهُ
10	15	23	مِنْ
10	15	24	تِلْقَاءِ
10	15	25	نَفْسِي
10	15	26	إِنْ
10	15	27	أَتَّبِعُ
10	15	28	إِلَّا
10	15	29	مَا
10	15	3	عَلَيْهِمْ
10	15	30	يُوحَىٰ
10	15	31	إِلَيَّ
10	15	32	إِنِّي
10	15	33	أَخَافُ
10	15	34	إِنْ
10	15	35	عَصَيْتُ
10	15	36	رَبِّي
10	15	37	عَذَابَ
10	15	38	يَوْمٍ
10	15	39	عَظِيمٍ
10	15	4	آيَاتُنَا
10	15	5	بَيِّنَاتٍ
10	15	6	قَالَ
10	15	7	الَّذِينَ
10	15	8	لَا
10	15	9	يَرْجُونَ
10	16	1	قُلْ
10	16	10	بِهِ
10	16	11	فَقَدْ
10	16	12	لَبِثْتُ
10	16	13	فِيكُمْ
10	16	14	عُمُرًا
10	16	15	مِنْ
10	16	16	قَبْلِهِ
10	16	17	أَفَلَا
10	16	18	تَعْقِلُونَ
10	16	2	لَوْ
10	16	3	شَاءَ
10	16	4	اللَّهُ
10	16	5	مَا
10	16	6	تَلَوْتُهُ
10	16	7	عَلَيْكُمْ
10	16	8	وَلَا
10	16	9	أَدْرَاكُمْ
10	17	1	فَمَنْ
10	17	10	بِآيَاتِهِ
10	17	11	إِنَّهُ
10	17	12	لَا
10	17	13	يُفْلِحُ
10	17	14	الْمُجْرِمُونَ
10	17	2	أَظْلَمُ
10	17	3	مِمَّنِ
10	17	4	افْتَرَىٰ
10	17	5	عَلَى
10	17	6	اللَّهِ
10	17	7	كَذِبًا
10	17	8	أَوْ
10	17	9	كَذَّبَ
10	18	1	وَيَعْبُدُونَ
10	18	10	وَيَقُولُونَ
10	18	11	هَٰؤُلَاءِ
10	18	12	شُفَعَاؤُنَا
10	18	13	عِنْدَ
10	18	14	اللَّهِ
10	18	15	قُلْ
10	18	16	أَتُنَبِّئُونَ
10	18	17	اللَّهَ
10	18	18	بِمَا
10	18	19	لَا
10	18	2	مِنْ
10	18	20	يَعْلَمُ
10	18	21	فِي
10	18	22	السَّمَاوَاتِ
10	18	23	وَلَا
10	18	24	فِي
10	18	25	الْأَرْضِ
10	18	26	سُبْحَانَهُ
10	18	27	وَتَعَالَىٰ
10	18	28	عَمَّا
10	18	29	يُشْرِكُونَ
10	18	3	دُونِ
10	18	4	اللَّهِ
10	18	5	مَا
10	18	6	لَا
10	18	7	يَضُرُّهُمْ
10	18	8	وَلَا
10	18	9	يَنْفَعُهُمْ
10	19	1	وَمَا
10	19	10	سَبَقَتْ
10	19	11	مِنْ
10	19	12	رَبِّكَ
10	19	13	لَقُضِيَ
10	19	14	بَيْنَهُمْ
10	19	15	فِيمَا
10	19	16	فِيهِ
10	19	17	يَخْتَلِفُونَ
10	19	2	كَانَ
10	19	3	النَّاسُ
10	19	4	إِلَّا
10	19	5	أُمَّةً
10	19	6	وَاحِدَةً
10	19	7	فَاخْتَلَفُوا
10	19	8	وَلَوْلَا
10	19	9	كَلِمَةٌ
10	2	1	أَكَانَ
10	2	10	أَنْذِرِ
10	2	11	النَّاسَ
10	2	12	وَبَشِّرِ
10	2	13	الَّذِينَ
10	2	14	آمَنُوا
10	2	15	أَنَّ
10	2	16	لَهُمْ
10	2	17	قَدَمَ
10	2	18	صِدْقٍ
10	2	19	عِنْدَ
